Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,24-03-2019,3977.707443,3977.276039,4006.984568,3961.802425
BTC,25-03-2019,3968.438701,3977.707443,3990.965292,3940.879744
BTC,26-03-2019,3913.781717,3972.696582,3982.232764,3903.29393
BTC,27-03-2019,3915.37532,3913.781742,3928.979427,3876.720858
BTC,28-03-2019,4018.59051,3925.865359,4030.357641,3914.577708
BTC,29-03-2019,4008.370872,4018.59051,4033.386524,3990.008616
BTC,30-03-2019,4080.260114,4008.37107,4100.149119,4006.619169
BTC,31-03-2019,4081.221605,4090.750409,4128.415102,4030.061257
BTC,01-04-2019,4094.704791,4081.221605,4104.536254,4073.245456
BTC,02-04-2019,4135.18494,4094.704791,4148.6618,4052.601676
BTC,03-04-2019,4818.770635,4135.182905,4961.780306,4132.55666
BTC,04-04-2019,5102.150753,4818.773504,5325.233877,4810.244974
BTC,05-04-2019,4875.599431,4966.90163,5071.589614,4787.707994
BTC,06-04-2019,5030.933271,4875.596147,5060.703203,4875.596147
BTC,07-04-2019,5028.321082,5032.791239,5229.957551,4934.263044
BTC,08-04-2019,5198.17317,5028.320269,5247.464931,5019.333332
BTC,09-04-2019,5260.205043,5192.929096,5343.247093,5088.678145
BTC,10-04-2019,5179.997649,5260.200329,5285.86342,5117.006185
BTC,11-04-2019,5283.543758,5179.996674,5450.989154,5170.615377
BTC,12-04-2019,5049.605824,5320.613514,5342.523902,4954.160915
BTC,13-04-2019,5077.515864,5042.402341,5098.606039,4894.73318
BTC,14-04-2019,5066.86704,5077.521133,5117.621045,5021.765035
BTC,15-04-2019,5158.387401,5066.87746,5167.43134,5014.165373
BTC,16-04-2019,5045.675166,5145.870366,5181.927,4957.68689
BTC,17-04-2019,5184.204468,5035.460733,5218.96154,5019.952949
BTC,18-04-2019,5220.959934,5184.20448,5253.861961,5167.683374
BTC,19-04-2019,5276.558982,5218.079843,5310.487045,5214.802942
BTC,20-04-2019,5266.661246,5279.181428,5345.759303,5212.188471
BTC,21-04-2019,5292.14833,5266.661261,5353.28683,5259.426827
BTC,22-04-2019,5276.558318,5292.148328,5330.917314,5195.633537
BTC,23-04-2019,5398.433417,5282.088267,5408.841963,5239.165296
BTC,24-04-2019,5552.521911,5398.433417,5622.481868,5359.25192
BTC,25-04-2019,5432.991017,5552.519471,5614.992209,5373.864707
BTC,26-04-2019,5132.227526,5432.991017,5505.131953,5055.192579
BTC,27-04-2019,5151.574528,5131.061691,5274.695485,5053.946309
BTC,28-04-2019,5200.193239,5151.574408,5218.815183,5088.298122
BTC,29-04-2019,5152.54574,5200.19306,5208.347656,5118.909133
BTC,30-04-2019,5151.4335,5156.543028,5192.025339,5083.842704
BTC,01-05-2019,5277.444469,5155.617283,5292.605385,5130.260198
BTC,02-05-2019,5297.942492,5277.44445,5351.359143,5259.844026
BTC,03-05-2019,5405.878067,5323.63927,5427.488394,5310.6701
BTC,04-05-2019,5697.679054,5405.878111,5791.211463,5378.208048
BTC,05-05-2019,5812.331779,5690.147527,5829.948913,5529.74824
BTC,06-05-2019,5713.035052,5787.598598,5787.645478,5634.72385
BTC,07-05-2019,5706.008421,5713.034966,5750.565609,5562.314727
BTC,08-05-2019,5899.529693,5687.259841,5956.150104,5687.253246
BTC,09-05-2019,5932.441391,5759.375057,5942.410892,5708.476326
BTC,10-05-2019,6159.685902,5932.446285,6159.685902,5845.650918
BTC,11-05-2019,6387.82945,6159.689544,6426.831207,6098.157976
BTC,12-05-2019,7254.805536,6347.706737,7337.322181,6346.331889
BTC,13-05-2019,6992.706661,7241.023653,7577.770675,6758.882084
BTC,14-05-2019,7906.940835,6992.705887,8148.561088,6860.28668
BTC,15-05-2019,7928.417416,7906.946425,8353.869652,7642.403561
BTC,16-05-2019,8177.453519,7989.127708,8260.95311,7844.980238
BTC,17-05-2019,7820.076243,8177.453574,8360.300191,7683.665283
BTC,18-05-2019,7243.650539,7820.076541,7935.97477,6900.829403
BTC,19-05-2019,7295.649729,7361.257633,7490.7942,7218.260668
BTC,20-05-2019,8221.259395,7285.421427,8242.357508,7267.210918
BTC,21-05-2019,7917.012499,8221.265473,8296.545603,7581.108489
BTC,22-05-2019,7961.128743,7984.511103,8092.679154,7811.277222
BTC,23-05-2019,7723.90388,7961.51988,8018.754546,7511.113924
BTC,24-05-2019,7903.84691,7723.894267,7973.230631,7478.095035
BTC,25-05-2019,8038.506791,7871.375871,8171.800838,7792.433814
BTC,26-05-2019,8089.570163,7990.919816,8130.577634,7935.743891
BTC,27-05-2019,8653.142368,8090.046526,8780.78203,7889.070676
BTC,28-05-2019,8800.346606,8653.151802,8937.246491,8621.572192
BTC,29-05-2019,8719.331485,8776.565788,8819.666297,8555.590834
BTC,30-05-2019,8672.400107,8721.347641,8756.242443,8430.12989
BTC,31-05-2019,8287.040256,8665.839657,9084.149997,8025.586476
BTC,01-06-2019,8513.203882,8285.496394,8544.643225,8120.089479
BTC,02-06-2019,8588.479505,8514.395927,8622.729981,8455.86041
BTC,03-06-2019,8744.265561,8589.169642,8830.182154,8523.242741
BTC,04-06-2019,8474.048229,8744.109224,8765.743462,8342.317687
BTC,05-06-2019,7645.572514,8108.159569,8108.159569,7453.269352
BTC,06-06-2019,7790.321135,7644.798758,7922.561139,7586.361621
BTC,07-06-2019,7730.881726,7794.195924,7920.527049,7459.129076
BTC,08-06-2019,8030.256079,7730.185918,8134.16682,7723.539678
BTC,09-06-2019,7949.425799,8030.233856,8074.593539,7790.899834
BTC,10-06-2019,7600.922492,7930.892273,7964.024535,7525.592609
BTC,11-06-2019,7954.006238,7600.922505,8064.900135,7530.5341
BTC,12-06-2019,7903.62525,8014.230919,8048.222661,7714.610306
BTC,13-06-2019,8151.78868,7903.614632,8249.416067,7824.114084
BTC,14-06-2019,8256.720099,8166.668236,8330.664352,8052.154225
BTC,15-06-2019,8667.787954,8257.277693,8694.022966,8172.400277
BTC,16-06-2019,8836.168413,8698.144537,8897.996023,8622.471735
BTC,17-06-2019,9061.540461,8836.249652,9381.819714,8800.995665
BTC,18-06-2019,9346.975087,9061.593525,9409.342462,8969.770913
BTC,19-06-2019,9012.48785,9337.754059,9357.773256,8943.097105
BTC,20-06-2019,9259.123638,9011.469676,9285.416716,8967.581715
BTC,21-06-2019,9559.900689,9260.682723,9599.915335,9198.775257
BTC,22-06-2019,9906.407965,9559.900659,9941.527077,9521.832102
BTC,23-06-2019,10461.41217,10206.49034,11190.5678,10058.41627
BTC,24-06-2019,10843.57097,10461.39042,11307.69355,10460.99889
BTC,25-06-2019,10996.45975,10843.60177,11104.10052,10539.81244
BTC,26-06-2019,11665.40968,10996.45328,11704.6219,10951.02502
BTC,27-06-2019,12444.92586,11668.66586,13879.23771,11625.88109
BTC,28-06-2019,11086.26883,12444.92234,13328.58031,10314.75387
BTC,29-06-2019,12316.95301,11086.23572,12402.04351,10789.98414
BTC,30-06-2019,12024.08097,12360.1871,12381.0417,11368.2745
BTC,01-07-2019,10932.31051,12024.09452,12187.3067,10837.56007
BTC,02-07-2019,10454.68382,10932.30749,11196.99575,9986.256849
