Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,24-03-2019,136.4499004,135.7098432,137.6065983,135.5413046
ETH,25-03-2019,135.3985812,136.4499004,136.7817894,134.453531
ETH,26-03-2019,133.3026314,135.3987135,136.2429514,131.9485494
ETH,27-03-2019,133.4910765,133.3026314,134.0453117,131.8460825
ETH,28-03-2019,138.0700978,133.6068482,138.4396785,133.3502828
ETH,29-03-2019,137.3131883,138.0713549,139.6121758,136.9036614
ETH,30-03-2019,141.3032262,137.3131895,141.9577681,137.3054559
ETH,31-03-2019,141.9411062,142.9308879,145.3971303,140.1061778
ETH,01-04-2019,141.3437324,141.9411062,142.3020308,140.4430786
ETH,02-04-2019,141.7132481,141.3437324,143.4213246,139.6024912
ETH,03-04-2019,162.4298499,141.7131426,162.4298499,141.1391835
ETH,04-04-2019,164.7095956,162.4258216,178.7461975,161.3090185
ETH,05-04-2019,157.0412173,160.9538667,164.7657108,153.7237594
ETH,06-04-2019,165.9009262,157.0468402,168.4524558,156.4458813
ETH,07-04-2019,165.1570911,165.670146,173.1086202,160.5805099
ETH,08-04-2019,173.9915869,165.1570733,176.2497243,164.303237
ETH,09-04-2019,180.2351402,174.8922261,186.6640292,173.0594831
ETH,10-04-2019,176.1470907,180.2311269,181.0021667,173.97401
ETH,11-04-2019,176.9719357,176.1472962,184.5993879,170.9414177
ETH,12-04-2019,165.644294,177.6830928,177.8628853,160.3467721
ETH,13-04-2019,165.238241,165.5401782,167.3150712,159.6024532
ETH,14-04-2019,163.5799827,165.2382504,166.0142709,162.1620011
ETH,15-04-2019,168.281686,163.7809406,168.6729723,161.9848446
ETH,16-04-2019,161.2565404,167.9639778,169.3339981,156.8817265
ETH,17-04-2019,165.6484765,160.9763295,167.8432377,160.2917735
ETH,18-04-2019,166.3103093,165.6484765,168.1959472,164.9580747
ETH,19-04-2019,173.6138263,166.7711376,175.9973429,166.2979098
ETH,20-04-2019,173.3950038,174.1652914,174.7232332,169.8921116
ETH,21-04-2019,173.2030205,173.3950038,178.1999524,171.5048713
ETH,22-04-2019,170.1608503,173.2030202,174.6680259,166.8837057
ETH,23-04-2019,172.8128439,170.2137798,173.7226493,168.6895011
ETH,24-04-2019,171.8396593,172.8128439,176.6144828,169.3852632
ETH,25-04-2019,166.1931802,171.8313647,172.0982145,162.7420444
ETH,26-04-2019,154.2475258,166.1931789,167.2456154,150.0683729
ETH,27-04-2019,153.9102989,152.7665866,156.5630717,149.2671166
ETH,28-04-2019,157.4083036,153.9102919,159.1378387,153.1744018
ETH,29-04-2019,154.828085,157.4083036,157.4083036,153.9904274
ETH,30-04-2019,153.6813137,154.535305,156.4159374,150.1627163
ETH,01-05-2019,161.2913029,153.5656809,162.0022796,153.5621439
ETH,02-05-2019,157.8012726,161.2913029,163.4850412,157.5398057
ETH,03-05-2019,160.9700953,158.8186778,161.7107499,157.4255983
ETH,04-05-2019,166.1339035,160.9700953,169.4580392,159.3876543
ETH,05-05-2019,163.8906998,166.2612587,169.0984118,159.4444313
ETH,06-05-2019,162.9348635,163.0249998,164.4565507,158.9576223
ETH,07-05-2019,173.605118,162.9348544,176.1419967,159.4688469
ETH,08-05-2019,173.8130614,171.4987987,180.9202927,169.1960999
ETH,09-05-2019,170.8984032,167.592945,172.4007053,164.0970315
ETH,10-05-2019,170.9917809,170.8987343,173.6213547,166.7188906
ETH,11-05-2019,174.1020005,171.0468297,176.9262577,169.0667092
ETH,12-05-2019,200.4883684,173.1685198,201.0744132,173.167354
ETH,13-05-2019,188.3712623,193.5311125,203.994253,183.4799913
ETH,14-05-2019,197.3040944,188.3712623,208.6716874,186.6858254
ETH,15-05-2019,217.0781324,197.2995746,217.1880134,193.3100008
ETH,16-05-2019,246.8264233,218.4421333,247.0957861,218.2680924
ETH,17-05-2019,260.3302092,246.8210856,279.8812675,243.6837211
